date_of_launch,date_of_tender_closing_or_auction,date_of_award,location,type_of_development_allowed,site_area,gross_floor_area,gross_plot_ratio,name_of_successful_tenderer_or_bidder,successful_tender_or_auction_price,remark
2010-11-30,2010-12-28,2011-01-12,Lorong Chencharu Land Parcel 10,Aquarium Fish Export Centre,5064.8,na,na,Sunbeam Aquarium (Pte) Ltd,289000,na
2010-08-18,2010-09-15,2010-10-28,Lorong Chencharu Land Parcel 8,Aquarium Fish Export Centre,5126.9,na,na,Aqua Fauna International Pte Ltd,198000,na
2010-08-18,2010-09-15,2010-10-28,Lorong Chencharu Land Parcel 11,Aquarium Fish Export Centre,4000.6,na,na,Aqua Fauna International Pte Ltd,112016.8,na
2010-05-27,2010-06-24,2010-07-14,Lorong Chencharu Land Parcel 1,Aquarium Fish Export Centre,3513.8,na,na,Low See Wan,88899.2,na
2010-05-27,2010-06-24,2010-07-14,Lorong Chencharu Land Parcel 2,Aquarium Fish Export Centre,5230.7,na,na,Low See Wan,189874.4,na
2010-05-27,2010-06-24,2010-07-14,Lorong Chencharu Land Parcel 7,Aquarium Fish Export Centre,3707.9,na,na,South Island Aquarium Pte Ltd,125327.02,na
2010-05-27,2010-06-24,2010-07-14,Lorong Chencharu Land Parcel 9,Aquarium Fish Export Centre,4000,na,na,Yong Quek Hiong,100800,na
2010-05-27,2010-06-24,2010-07-14,Lorong Chencharu Land Parcel 12,Aquarium Fish Export Centre,4490.5,na,na,Sunbeam Aquarium (Pte) Ltd,188000,na
2010-05-27,2010-06-24,2010-07-14,Lorong Chencharu Land Parcel 13,Aquarium Fish Export Centre,5315.7,na,na,Aquacultural F.A.M.E (S) Pte. Ltd.,119603.25,na
2010-05-27,2010-06-24,2010-07-14,Lorong Chencharu Land Parcel 14,Aquarium Fish Export Centre,4549.4,na,na,Pisces Tropica Pte Ltd,227470,na
2010-04-01,2010-04-29,2010-05-07,Lorong Chencharu Land Parcel 3,Aquarium Fish Export Centre,3563.8,na,na,Aqua-Nautic Specialist Pte Ltd,103550,na
2010-04-01,2010-04-29,2010-05-07,Lorong Chencharu Land Parcel 4,Aquarium Fish Export Centre,4335.2,na,na,Red Summer Koi Farm,156067.2,na
2010-04-01,2010-04-29,2010-05-07,Lorong Chencharu Land Parcel 5,Aquarium Fish Export Centre,3588.3,na,na,Aqua-Nautic Specialist Pte Ltd,104250,na
2010-04-01,2010-04-29,2010-05-07,Lorong Chencharu Land Parcel 6,Aquarium Fish Export Centre,5702.3,na,na,Sanyo Aquarium (Pte) Ltd,220000,na
2008-06-26,2008-08-21,2008-08-21,Tanah Merah Kechil Road,Residential,404.7,na,na,Ng Kim Hoe,1510000,na
2008-06-26,2008-08-21,2008-08-21,Namly Road,Residential,721.9,na,na,Martha Lim Li Feng,2630000,na
2008-06-26,2008-08-21,2008-08-21,Glasgow Road,Residential,438.5,na,na,Tan Ho Peng,710000,na
2008-06-26,2008-08-21,2008-08-21,Ridout Road,Residential,1436.3,na,na,George Quek Meng Tong & Katherine Lee Lih Leng,8960000,na
2007-10-25,2007-11-29,2007-11-29,Moonbeam Walk,Residential,584.7,na,na,Liverland Investments Pte Ltd,3940000,na
2007-10-25,2007-11-29,2007-11-29,Eng Neo Avenue,Residential,1550.5,na,na,Foo Chee King John,6000000,na
2007-10-25,2007-11-29,2007-11-29,Eng Neo Avenue,Residential,2712.9,na,na,Hu Nan Lee,12100000,na
2007-10-25,2007-11-29,2007-11-29,Jalan Insaf,Residential,647.6,na,na,Lye Holdings Pte. Ltd.,3540000,na
2007-10-25,2007-11-29,2007-11-29,Bedok Close,Residential,392.8,na,na,Avadh Pte. Ltd.,1300000,na
2007-10-25,2007-11-29,2007-11-29,Somme Road,Residential with Commercial at 1st Storey,329.5,na,3,Sarda Pte. Ltd.,3760000,na
2007-10-23,2007-11-20,2007-11-27,Woodlands Ave 2/ Rosewood Drive,Residential,16000,22400,na,EL Development Pte Ltd,56000000,na
2007-10-11,2007-11-15,2007-11-23,Lorong Semangka (ST 4A),Agriculture,25564.1,500,na,Environmental Landscape Pte Ltd,963360,gross floor area indicated is for commercial uses subject to usage caps.
2007-10-11,2007-11-15,2007-11-23,Lorong Semangka (ST 4B),Agriculture,31490.3,500,na,Environmental Landscape Pte Ltd,1120000,gross floor area indicated is for commercial uses subject to usage caps.
2007-10-11,2007-11-15,2007-11-23,Sungei Tengah Road (ST 44),Agriculture,19634.3,500,na,Dragonwana Aqurium Trading,530000,gross floor area indicated is for commercial uses subject to usage caps.
2007-10-11,2007-11-15,2007-11-23,Jalan Lekar (ST 78),Agriculture,19342.7,500,na,Qian Hu Corporation Limited,967135,gross floor area indicated is for commercial uses subject to usage caps.
na,na,2006-12-28,Neo Tiew Lane 2,Agri-tainment,50968.9,na,0.4,HLH Agri R & D Pte. Ltd.,880000,na
na,na,2006-12-28,Lim Chu Kang Lane 3,Agri-tainment,15006.5,na,0.4,Yoli Technologies Pte. Ltd.,476336,na
na,na,2006-12-28,Lim Chu Kang Lane 6,Agri-tainment,12353.6,na,0.4,Yoli Technologies Pte. Ltd.,398000,na
na,na,2005-12-15,4870 Beach Road,Petrol Station,1315,na,0.5,Chevron Singapore Pte. Ltd.,3740000,gross plot ratio indicated is upon redevelopment
na,na,2005-12-15,236 Whitley Road,Petrol Station,1125.2,na,0.5,Chevron Singapore Pte. Ltd.,1405000,gross plot ratio indicated is upon redevelopment
na,na,2005-12-15,277 Lorong Chuan,Petrol Station,2480.6,na,0.5,Chevron Singapore Pte. Ltd.,7310000,gross plot ratio indicated is upon redevelopment
na,na,2005-01-18,Sengkang Central/ Buangkok Drive,Condominium/ Apartment,21985.3,65955.9,3,Winterhall Pte Ltd,172515000,site area subject to final survey
na,na,2003-10-14,Pasir Ris Farmway 2,Fish Rearing,19991,na,na,Swift Singapore Pte Ltd,480012,site area subject to final survey
na,na,2003-10-14,Neo Tiew Crescent,Fish Rearing,20130.5,na,na,Swee Hing & Brothers Aquarium Company,301888,site area subject to final survey
na,na,2003-03-24,Jalan Bukit Ho Swee (Tiong Bahru ONE),Condominium/ Apartment,5348,22461.6,4.2,MCL Land Limited,72780078,site area subject to final survey
na,na,2002-05-10,551 Upper Thomson Road,Petrol Station,3555.3,na,0.5,Shell Eastern Petroleum Pte Ltd,6700000,site area subject to final survey
